"appEuse","lights","T1","RH_1","T2","RH_2","T3","RH_3","T4","RH_4","T5","RH_5","T6","RH_6","T7","RH_7","T8","RH_8","T9","RH_9","T_out","Press_mm_hg","RH_out","Windspeed","Visibility","Tdewpoint"
60,30,19.89,47.5966666666667,19.2,44.79,19.79,44.73,19,45.5666666666667,17.1666666666667,55.2,7.02666666666667,84.2566666666667,17.2,41.6266666666667,18.2,48.9,17.0333333333333,45.53,6.6,733.5,92,7,63,5.3
60,30,19.89,46.6933333333333,19.2,44.7225,19.79,44.79,19,45.9925,17.1666666666667,55.2,6.83333333333333,84.0633333333333,17.2,41.56,18.2,48.8633333333333,17.0666666666667,45.56,6.48333333333333,733.6,92,6.66666666666667,59.1666666666667,5.2
50,30,19.89,46.3,19.2,44.6266666666667,19.79,44.9333333333333,18.9266666666667,45.89,17.1666666666667,55.09,6.56,83.1566666666667,17.2,41.4333333333333,18.2,48.73,17,45.5,6.36666666666667,733.7,92,6.33333333333333,55.3333333333333,5.1
50,40,19.89,46.0666666666667,19.2,44.59,19.79,45,18.89,45.7233333333333,17.1666666666667,55.09,6.43333333333333,83.4233333333333,17.1333333333333,41.29,18.1,48.59,17,45.4,6.25,733.8,92,6,51.5,5
60,40,19.89,46.3333333333333,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.36666666666667,84.8933333333333,17.2,41.23,18.1,48.59,17,45.4,6.13333333333333,733.9,92,5.66666666666667,47.6666666666667,4.9
50,40,19.89,46.0266666666667,19.2,44.5,19.79,44.9333333333333,18.89,45.73,17.1333333333333,55.03,6.3,85.7666666666667,17.1333333333333,41.26,18.1,48.59,17,45.29,6.01666666666667,734,92,5.33333333333333,43.8333333333333,4.8
60,50,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667,6.26333333333333,86.09,17.1333333333333,41.2,18.1,48.59,17,45.29,5.9,734.1,92,5,40,4.7
60,50,19.8566666666667,45.56,19.2,44.5,19.73,44.9,18.89,45.8633333333333,17.1,54.9,6.19,86.4233333333333,17.1,41.2,18.1,48.59,17,45.29,5.91666666666667,734.166666666667,91.8333333333333,5.16666666666667,40,4.68333333333333
60,40,19.79,45.5975,19.2,44.4333333333333,19.73,44.79,18.89,45.79,17.1666666666667,55,6.12333333333333,87.2266666666667,17.1666666666667,41.4,18.1,48.59,17,45.29,5.93333333333333,734.233333333333,91.6666666666667,5.33333333333333,40,4.66666666666667
70,40,19.8566666666667,46.09,19.23,44.4,19.79,44.8633333333333,18.89,46.0966666666667,17.1,55,6.19,87.6266666666667,17.2,41.5,18.1,48.59,17,45.29,5.95,734.3,91.5,5.5,40,4.65
230,70,19.9266666666667,45.8633333333333,19.3566666666667,44.4,19.79,44.9,18.89,46.43,17.1,55,6.19,87.8666666666667,17.2475,42.7175,18.1,48.59,17,45.29,5.96666666666667,734.366666666667,91.3333333333333,5.66666666666667,40,4.63333333333333
580,60,20.0666666666667,46.3966666666667,19.4266666666667,44.4,19.79,44.8266666666667,19,46.43,17.1,55,6.12333333333333,87.9933333333333,17.53,44.2633333333333,18.0666666666667,48.6333333333333,16.89,45.29,5.98333333333333,734.433333333333,91.1666666666667,5.83333333333333,40,4.61666666666667
430,50,20.1333333333333,48,19.5666666666667,44.4,19.89,44.9,19,46.3633333333333,17.1,55.09,6.12333333333333,88.59,17.8233333333333,45.4933333333333,18.0666666666667,48.56,16.9633333333333,45.29,6,734.5,91,6,40,4.6
250,40,20.26,52.7266666666667,19.73,45.1,19.89,45.4933333333333,19,47.2233333333333,17.1,55.1633333333333,6.0675,88.215,17.9633333333333,46.16,18.0333333333333,48.6666666666667,16.89,45.3266666666667,6,734.616666666667,90.5,6,40,4.51666666666667
100,10,20.4266666666667,55.8933333333333,19.8566666666667,45.8333333333333,20.0333333333333,47.5266666666667,19,48.6966666666667,17.1,55.5,5.9,88.1566666666667,17.9633333333333,45.5333333333333,18.1,49.1933333333333,16.89,45.345,6,734.733333333333,90,6,40,4.43333333333333
100,10,20.5666666666667,53.8933333333333,20.0333333333333,46.7566666666667,20.1,48.4666666666667,19,48.49,17.15,56.0425,5.8,88.3666666666667,17.89,44.9266666666667,18.15,49.2,16.89,45.3266666666667,6,734.85,89.5,6,40,4.35
